User_id,time,action,destination,hotel
2.02E+18,0:00:00,Click,Rimini,Regina Elena 57
2.02E+18,0:03:53,Click,Rimini,Regina Elena 57
2.02E+18,0:01:16,Click,Rimini,Regina Elena 57
2.02E+18,0:04:34,Click,Rimini,Regina Elena 57
2.02E+18,0:07:32,Click,Berlin,Müggelsee Berlin
2.02E+18,0:18:36,Click,Berlin,SensCity Berlin Spandau
2.02E+18,0:16:12,Click,Berlin,Azimut Berlin City South
2.02E+18,0:05:04,Click,Cottbus,City Cottbus
2.02E+18,0:01:50,Click,Cottbus,Ostrow
2.02E+18,0:12:05,Click,Berlin,Days Inn Berlin West
2.02E+18,0:11:20,Click,Berlin,Days Inn Berlin West
2.02E+18,0:04:27,Click,Cottbus,City Cottbus
2.02E+18,0:02:47,Homepage,,
2.02E+18,0:00:23,Homepage,,
2.02E+18,0:00:23,Click,Amsterdam,Vossius Vondelpark
2.02E+18,0:36:21,Homepage,,
2.02E+18,0:02:46,Click,Amsterdam,Continental
2.02E+18,0:37:02,Homepage,,
2.02E+18,0:03:25,Click,Paris,Ampère
2.02E+18,0:03:01,Click,Paris,Ampère
2.02E+18,0:00:37,Click,Paris,Ampère
2.02E+18,0:00:00,Homepage,,
2.02E+18,0:02:55,Click,Chianciano Terme,Ave
2.02E+18,0:00:49,Click,Chianciano Terme,Ave
2.02E+18,0:01:24,Search,Netherlands,
2.02E+18,0:01:26,Search,Netherlands,
2.02E+18,0:01:31,Search,Netherlands,
2.02E+18,0:00:00,Search,Netherlands,
2.02E+18,0:01:25,Search,Netherlands,
2.02E+18,0:01:29,Search,Netherlands,
2.02E+18,0:01:28,Search,Netherlands,
2.02E+18,0:41:03,Click,Berlin,Comenius
2.02E+18,0:24:38,Click,Berlin,Comenius
2.02E+18,0:16:45,Click,Berlin,Generator Hostel Berlin
2.02E+18,0:31:18,Homepage,,
2.02E+18,0:31:21,Homepage,,
2.02E+18,0:20:41,Click,Klaipeda,Amberton Klaipeda
2.02E+18,0:05:32,Click,Helsinki,Ava
2.02E+18,0:16:58,Click,,Doma
2.02E+18,0:06:06,Click,Helsinki,Erottajanpuisto
2.02E+18,0:22:49,Click,,Tartu
2.02E+18,0:17:34,Click,,Liene
2.02E+18,0:18:21,Click,,Backpackers 30 40
2.02E+18,0:06:32,Click,Helsinki,Best Western Plus Hotel Haaga
